x,y,flux_mean,flux_sigma,total_mean,total_sigma
-6.3849,-6.3849,0.0,0.0,0.0,0.0
-6.3849,-6.129504,0.0,0.0,0.0,0.0
-6.3849,-5.874108,0.0,0.0,0.0,0.0
-6.3849,-5.618712,0.0,0.0,0.0,0.0
-6.3849,-5.363316,0.0,0.0,0.0,0.0
-6.3849,-5.10792,0.0,0.0,0.0,0.0
-6.3849,-4.852524,0.0,0.0,0.0,0.0
-6.3849,-4.597128,0.0,0.0,0.0,0.0
-6.3849,-4.341732,0.0,0.0,0.0,0.0
-6.3849,-4.086335999999999,0.0,0.0,0.0,0.0
-6.3849,-3.83094,0.0,0.0,0.0,0.0
-6.3849,-3.575544,0.0,0.0,0.0,0.0
-6.3849,-3.3201479999999997,0.0,0.0,0.0,0.0
-6.3849,-3.064752,0.0,0.0,0.0,0.0
-6.3849,-2.8093559999999997,0.0,0.0,0.0,0.0
-6.3849,-2.55396,0.0,0.0,0.0,0.0
-6.3849,-2.298564,0.0,0.0,0.0,0.0
-6.3849,-2.0431679999999997,0.0,0.0,0.0,0.0
-6.3849,-1.7877719999999995,0.0,0.0,0.0,0.0
-6.3849,-1.5323760000000002,3.1455495909456177e-06,3.1455495909456177e-06,1e-06,1e-06
-6.3849,-1.27698,1.2208776566838018e-05,6.206288949595331e-06,4e-06,1.9969947390987257e-06
-6.3849,-1.0215839999999998,1.6250672739171355e-05,7.2858833515047455e-06,5e-06,2.231586874844889e-06
-6.3849,-0.7661879999999996,3.9301394860151576e-05,1.2147113674581076e-05,1.2000000000000004e-05,3.7242274191931234e-06
-6.3849,-0.5107919999999995,1.184982280849195e-05,5.974127869708574e-06,4e-06,1.9969947390987257e-06
-6.3849,-0.2553959999999993,5.157540928309416e-05,1.4921723039302479e-05,1.5000000000000007e-05,4.3351809412980444e-06
-6.3849,0.0,3.276556808096218e-05,1.0391891607232062e-05,1.0000000000000003e-05,3.1480009386767835e-06
-6.3849,0.2553960000000002,4.804088419770136e-05,1.2419215045870018e-05,1.5000000000000007e-05,3.845749574502972e-06
-6.3849,0.5107920000000004,1.5760783491923674e-05,7.186386569473085e-06,5e-06,2.231586874844889e-06
-6.3849,0.7661880000000005,1.8393971341258544e-05,7.55527346796673e-06,6e-06,2.4433521993298407e-06
-6.3849,1.0215840000000007,2.739445148041832e-05,9.701259297600546e-06,8e-06,2.8185003005044975e-06
-6.3849,1.27698,1.8899481543331428e-05,7.819233988931926e-06,6e-06,2.4433521993298407e-06
-6.3849,1.5323760000000002,7.30138082729864e-06,5.160746699235449e-06,2e-06,1.4135055705578233e-06
-6.3849,1.7877720000000004,0.0,0.0,0.0,0.0
-6.3849,2.0431679999999997,0.0,0.0,0.0,0.0
-6.3849,2.2985640000000007,0.0,0.0,0.0,0.0
-6.3849,2.55396,0.0,0.0,0.0,0.0
