lower_edges,upper_edges,mean,sigma
100.0,112.98227098254235,2.3130865941061325e-07,2.125013990130062e-07
112.98227098254235,127.64993556372616,2.135589821379939e-08,2.135589821379939e-08
127.64993556372616,144.2217961076498,0.0,0.0
144.2217961076498,162.94506049423458,3.3712434398397114e-07,2.7015787180895197e-07
162.94506049423458,184.09902980026348,1.111841552839563e-06,8.021707183464976e-07
184.09902980026348,207.99926472516506,1.4410071759284422e-07,1.3101164030249264e-07
207.99926472516506,235.00229291348137,4.28021716024311e-07,2.371556388345433e-07
235.00229291348137,265.51092739469743,4.2039575172387147e-07,2.1324109407063563e-07
265.51092739469743,299.9802754773383,1.3885832904255768e-06,5.871153456202605e-07
299.9802754773383,338.924527733983,4.5769985240107563e-07,2.529059295228543e-07
338.924527733983,382.9246283507105,1.346895631626621e-06,6.731530759151778e-07
382.9246283507105,432.63694126209293,3.294183662177046e-06,1.471902696272114e-06
432.63694126209293,488.8030413473199,2.445534217174489e-06,1.058010486336269e-06
488.8030413473199,552.2607767459375,3.817779208786919e-06,1.1731502704254196e-06
552.2607767459375,623.9567673133882,3.996389810283741e-06,1.2518907187822506e-06
623.9567673133882,704.9605256599227,5.689552871896341e-06,1.570724880673227e-06
704.9605256599227,796.4804114210489,4.1102482538659816e-06,1.264868643629033e-06
796.4804114210489,899.8816567545975,8.752819124836397e-06,2.1217950030474062e-06
899.8816567545975,1016.70673195667,9.896978011290836e-06,2.296171059059678e-06
1016.70673195667,1148.6983549970353,1.3958697067492448e-05,2.7226396602915236e-06
1148.6983549970353,1297.8254882147567,1.4309906909123989e-05,2.9196849889910315e-06
1297.8254882147567,1466.312709975298,2.5331114895315466e-05,3.76078772907775e-06
1466.312709975298,1656.6733994357496,2.9407344386227226e-05,4.147566087532496e-06
1656.6733994357496,1871.7472294461966,2.0747404606247242e-05,2.6793257604109806e-06
1871.7472294461966,2114.7425268811285,4.7274109047315484e-05,5.770127724028299e-06
2114.7425268811285,2389.2841323038974,4.6845735431817485e-05,5.061312937445468e-06
2389.2841323038974,2699.4674729024773,4.9902566212766544e-05,5.319275761921652e-06
2699.4674729024773,3049.919655320262,6.161892623937322e-05,6.3352612373083675e-06
3049.919655320262,3445.868489723756,8.845646911450798e-05,7.391852706377308e-06
3445.868489723756,3893.2204747617334,9.465368125546162e-05,8.135403582449634e-06
3893.2204747617334,4398.648906743123,0.00013521038079698658,1.0005918729830971e-05
4398.648906743123,4969.693427387147,0.0001840314350258726,1.1835711104666233e-05
4969.693427387147,5614.872495132142,0.0002097965837961932,1.2292023464414519e-05
5614.872495132142,6343.810457774433,0.00025461560428670284,1.3599035235426884e-05
6343.810457774433,7167.381122021563,0.00030833023047333193,1.5803697956045858e-05
7167.381122021563,8097.869961633985,0.0003498252177139176,1.6383901681750467e-05
8097.869961633985,9149.157383867207,0.00044886813866883894,1.8753777797519233e-05
9149.157383867207,10336.92578806012,0.0005455432682735063,2.0548528915012886e-05
10336.92578806012,11678.893505130372,0.0006633305865323406,2.206441576810882e-05
11678.893505130372,13195.079107728949,0.0008022186878844429,2.4466390524420696e-05
13195.079107728949,14908.100033855137,0.0009808706014941577,2.8494421826678434e-05
14908.100033855137,16843.509978598715,0.0012072510261017435,3.291264427652106e-05
16843.509978598715,19030.18008699194,0.0015529518174319406,3.658774789148627e-05
19030.18008699194,21500.72963435102,0.001760899986715079,3.77542234951573e-05
21500.72963435102,24292.012618706234,0.002219979418174073,4.4524461871200766e-05
24292.012618706234,27445.667523980028,0.002725470842850801,4.975698844976929e-05
27445.667523980028,31008.738454910766,0.003286685768745661,5.12866253477598e-05
31008.738454910766,35034.376909395134,0.003965995705191483,5.654529815679406e-05
35034.376909395134,39582.63465681801,0.004881092425028596,6.442280591956421e-05
39582.63465681801,44721.359549995796,0.006014696646456256,7.210338027390732e-05
44721.359549995796,50527.20763385328,0.007062992632037256,7.906138178904577e-05
50527.20763385328,57086.78664879187,0.008346145175919552,8.488345647969162e-05
57086.78664879187,64497.9479867639,0.010204259628232125,9.696109633476803e-05
64497.9479867639,72871.24637258488,0.01207662404762184,9.968890835635789e-05
72871.24637258488,82331.58904502982,0.014872173694123983,0.00011073660541490306
82331.58904502982,93020.09903908864,0.01740111005924855,0.00012297367780139725
93020.09903908864,105096.22036457229,0.02064239891972379,0.0001349229045322176
105096.22036457229,118740.0964847108,0.024452983459718636,0.00014275227651156338
118740.0964847108,134155.25757528833,0.02857166391557728,0.0001530332404060598
134155.25757528833,151571.65665103975,0.03366535210038442,0.0001672507961039954
151571.65665103975,171249.09985020658,0.03941971597635756,0.00018741852486828573
171249.09985020658,193481.1220479247,0.04639429455970036,0.0002005092295028829
193481.1220479247,218599.36561224956,0.05357909068230308,0.00021515575470091358
218599.36561224956,246978.52762215002,0.06191462747374643,0.00023597444122817448
246978.52762215002,279041.94934675103,0.07129044772525318,0.00023908347429147495
279041.94934675103,315267.93136591447,0.08093991410580871,0.0002627181346555603
315267.93136591447,356196.86853689345,0.09283462886548668,0.0002732934033604665
356196.86853689345,402439.3112416826,0.10313637341689927,0.00030308735746339884
402439.3112416826,454685.0731673544,0.11545250799563256,0.00031768121668025034
454685.0731673544,513713.52148311073,0.12662701226127196,0.0003129980754445749
513713.52148311073,580405.2029160084,0.13776444865867113,0.0003219780745328288
580405.2029160084,655754.9791553401,0.14913030620164985,0.00033152691873703795
655754.9791553401,740886.8675308011,0.16053799349958803,0.0003634087857787984
740886.8675308011,837070.8083477184,0.1712730981341061,0.00036603021599434604
837070.8083477184,945741.6090031759,0.18283979143291634,0.00037571458775717504
945741.6090031759,1068520.3474786233,0.19215734532146234,0.0003705626124518102
1068520.3474786233,1207238.5544919022,0.20258822060099033,0.00038205218298198874
