lower_edges,upper_edges,mean,sigma
100.0,112.98227098254235,0.0,0.0
112.98227098254235,127.64993556372616,0.0,0.0
127.64993556372616,144.2217961076498,0.0,0.0
144.2217961076498,162.94506049423458,0.0,0.0
162.94506049423458,184.09902980026348,0.0,0.0
184.09902980026348,207.99926472516506,0.0,0.0
207.99926472516506,235.00229291348137,0.0,0.0
235.00229291348137,265.51092739469743,0.0,0.0
265.51092739469743,299.9802754773383,0.0,0.0
299.9802754773383,338.924527733983,0.0,0.0
338.924527733983,382.9246283507105,0.0,0.0
382.9246283507105,432.63694126209293,0.0,0.0
432.63694126209293,488.8030413473199,0.0,0.0
488.8030413473199,552.2607767459375,0.0,0.0
552.2607767459375,623.9567673133882,0.0,0.0
623.9567673133882,704.9605256599227,0.0,0.0
704.9605256599227,796.4804114210489,0.0,0.0
796.4804114210489,899.8816567545975,0.0,0.0
899.8816567545975,1016.70673195667,1.3571203899207773e-07,1.1242573833118991e-09
1016.70673195667,1148.6983549970353,1.124659656501873e-06,3.6173707273913946e-09
1148.6983549970353,1297.8254882147567,1.3285544662546425e-06,4.462293386947087e-09
1297.8254882147567,1466.312709975298,1.6794943045378507e-06,5.3837070378674794e-09
1466.312709975298,1656.6733994357496,2.151164031662519e-06,6.892908498734766e-09
1656.6733994357496,1871.7472294461966,2.647659542747191e-06,8.381307524786711e-09
1871.7472294461966,2114.7425268811285,3.3957899826588134e-06,1.1074028028283341e-08
2114.7425268811285,2389.2841323038974,4.431182882121665e-06,1.4003494015931153e-08
2389.2841323038974,2699.4674729024773,7.322988769570842e-06,2.1725764419143705e-08
2699.4674729024773,3049.919655320262,8.511748581177918e-06,2.727531120802953e-08
3049.919655320262,3445.868489723756,5.530005762754812e-05,9.87778111231416e-08
3445.868489723756,3893.2204747617334,5.0829610795607835e-05,9.665285094603017e-08
3893.2204747617334,4398.648906743123,6.591445036667456e-06,2.1005527650053574e-08
4398.648906743123,4969.693427387147,7.946937946745101e-06,2.349687523787535e-08
4969.693427387147,5614.872495132142,9.883429394736742e-06,2.9344549253082024e-08
5614.872495132142,6343.810457774433,1.0547290894240176e-05,3.492596673092195e-08
6343.810457774433,7167.381122021563,1.3696996569266592e-05,4.468063948011241e-08
7167.381122021563,8097.869961633985,3.429102648787944e-05,9.301368103618364e-08
8097.869961633985,9149.157383867207,2.4860611858729575e-05,8.02693575367919e-08
