x,y,flux_mean,flux_sigma,total_mean,total_sigma
-6.3849,-6.3849,0.0,0.0,0.0,0.0
-6.3849,-6.129504,0.0,0.0,0.0,0.0
-6.3849,-5.874108,0.0,0.0,0.0,0.0
-6.3849,-5.618712,0.0,0.0,0.0,0.0
-6.3849,-5.363316,0.0,0.0,0.0,0.0
-6.3849,-5.10792,0.0,0.0,0.0,0.0
-6.3849,-4.852524,0.0,0.0,0.0,0.0
-6.3849,-4.597128,0.0,0.0,0.0,0.0
-6.3849,-4.341732,0.0,0.0,0.0,0.0
-6.3849,-4.086335999999999,0.0,0.0,0.0,0.0
-6.3849,-3.83094,0.0,0.0,0.0,0.0
-6.3849,-3.575544,0.0,0.0,0.0,0.0
-6.3849,-3.3201479999999997,0.0,0.0,0.0,0.0
-6.3849,-3.064752,0.0,0.0,0.0,0.0
-6.3849,-2.8093559999999997,0.0,0.0,0.0,0.0
-6.3849,-2.55396,0.0,0.0,0.0,0.0
-6.3849,-2.298564,0.0,0.0,0.0,0.0
-6.3849,-2.0431679999999997,0.0,0.0,0.0,0.0
-6.3849,-1.7877719999999995,2.261563112728659e-06,8.558272878845592e-07,7.000000000000001e-07,2.637794146243781e-07
-6.3849,-1.5323760000000002,7.695938077512574e-06,1.6136861064962187e-06,2.4e-06,5.044744735806705e-07
-6.3849,-1.27698,1.4091058747684661e-05,2.097009510852373e-06,4.3999999999999985e-06,6.488921798427389e-07
-6.3849,-1.0215839999999998,2.3400592322407566e-05,2.725801344854209e-06,7.4000000000000045e-06,8.520363642274703e-07
-6.3849,-0.7661879999999996,2.709377727927717e-05,3.1060578461294414e-06,8.500000000000003e-06,9.584720489762178e-07
-6.3849,-0.5107919999999995,3.1145308728999994e-05,3.332268878679588e-06,9.899999999999993e-06,1.0455061372766218e-06
-6.3849,-0.2553959999999993,3.464105460225117e-05,3.410055962821936e-06,1.1099999999999992e-05,1.0714186567061156e-06
-6.3849,0.0,3.9046552649185155e-05,3.607964831623087e-06,1.239999999999998e-05,1.1346927018041161e-06
-6.3849,0.2553960000000002,2.847988750053977e-05,3.0917796599882407e-06,8.799999999999999e-06,9.505069507707263e-07
-6.3849,0.5107920000000004,3.0850833722957016e-05,3.234525539403784e-06,9.6e-06,1.0143317351186784e-06
-6.3849,0.7661880000000005,2.7194368620300385e-05,3.0503478400361494e-06,8.500000000000002e-06,9.479708057997614e-07
-6.3849,1.0215840000000007,1.852727731392809e-05,2.4487015071008e-06,5.800000000000001e-06,7.5294550063529e-07
-6.3849,1.27698,1.4160590782486965e-05,2.2114972801246792e-06,4.3999999999999985e-06,6.790442556277915e-07
-6.3849,1.5323760000000002,7.247621158168142e-06,1.5488709420399706e-06,2.3e-06,4.949292423720335e-07
