x,y,flux_mean,flux_sigma,total_mean,total_sigma
-6.3849,-6.3849,0.0,0.0,0.0,0.0
-6.3849,-6.129504,0.0,0.0,0.0,0.0
-6.3849,-5.874108,0.0,0.0,0.0,0.0
-6.3849,-5.618712,0.0,0.0,0.0,0.0
-6.3849,-5.363316,0.0,0.0,0.0,0.0
-6.3849,-5.10792,0.0,0.0,0.0,0.0
-6.3849,-4.852524,0.0,0.0,0.0,0.0
-6.3849,-4.597128,0.0,0.0,0.0,0.0
-6.3849,-4.341732,0.0,0.0,0.0,0.0
-6.3849,-4.086335999999999,0.0,0.0,0.0,0.0
-6.3849,-3.83094,0.0,0.0,0.0,0.0
-6.3849,-3.575544,0.0,0.0,0.0,0.0
-6.3849,-3.3201479999999997,0.0,0.0,0.0,0.0
-6.3849,-3.064752,0.0,0.0,0.0,0.0
-6.3849,-2.8093559999999997,0.0,0.0,0.0,0.0
-6.3849,-2.55396,0.0,0.0,0.0,0.0
-6.3849,-2.298564,0.0,0.0,0.0,0.0
-6.3849,-2.0431679999999997,0.0,0.0,0.0,0.0
-6.3849,-1.7877719999999995,6.81328959154665e-07,7.290754325024191e-08,3.919429081115368e-06,3.667899439304251e-07
-6.3849,-1.5323760000000002,4.39826544770843e-06,1.9580086142648206e-07,2.787553098845333e-05,1.0904562071862533e-06
-6.3849,-1.27698,8.14443702622841e-06,2.853941056259921e-07,5.037196058877622e-05,1.4724462100750554e-06
-6.3849,-1.0215839999999998,1.1664733530503048e-05,3.399299666510148e-07,7.329862303493205e-05,1.8816811550711176e-06
-6.3849,-0.7661879999999996,1.42272623459111e-05,3.645338189394733e-07,9.335466323628905e-05,2.11952123337027e-06
-6.3849,-0.5107919999999995,1.558769724308754e-05,3.8635552335672945e-07,0.00010297440726843064,2.2957169053863297e-06
-6.3849,-0.2553959999999993,1.7678459220011903e-05,4.0118811386923563e-07,0.00011312250110518398,2.3876918162445875e-06
-6.3849,0.0,1.8048116094891608e-05,4.114420682096818e-07,0.00011981169235554271,2.4975485216716933e-06
-6.3849,0.2553960000000002,1.8287949925530684e-05,4.400345318868401e-07,0.000113032411193303,2.3832979638552932e-06
-6.3849,0.5107920000000004,1.630841020793916e-05,4.0617019018848123e-07,0.00010605416246170372,2.3846870905903267e-06
-6.3849,0.7661880000000005,1.4001964593580089e-05,3.6537796624059117e-07,9.371582059932594e-05,2.1786321527559976e-06
-6.3849,1.0215840000000007,1.1315185498138815e-05,3.279461527756336e-07,7.227905753160847e-05,1.853981956945917e-06
-6.3849,1.27698,7.912803996323082e-06,2.6447830408891785e-07,4.983233085285103e-05,1.5028437157052152e-06
-6.3849,1.5323760000000002,4.448011443751921e-06,2.0672612514033123e-07,2.5935918383807097e-05,1.0365503657070584e-06
