lower_edges,upper_edges,mean,sigma
100.0,112.98227098254235,0.0,0.0
112.98227098254235,127.64993556372616,0.0,0.0
127.64993556372616,144.2217961076498,0.0,0.0
144.2217961076498,162.94506049423458,0.0,0.0
162.94506049423458,184.09902980026348,0.0,0.0
184.09902980026348,207.99926472516506,0.0,0.0
207.99926472516506,235.00229291348137,0.0,0.0
235.00229291348137,265.51092739469743,0.0,0.0
265.51092739469743,299.9802754773383,0.0,0.0
299.9802754773383,338.924527733983,0.0,0.0
338.924527733983,382.9246283507105,0.0,0.0
382.9246283507105,432.63694126209293,0.0,0.0
432.63694126209293,488.8030413473199,0.0,0.0
488.8030413473199,552.2607767459375,0.0,0.0
552.2607767459375,623.9567673133882,0.0,0.0
623.9567673133882,704.9605256599227,0.0,0.0
704.9605256599227,796.4804114210489,0.0,0.0
796.4804114210489,899.8816567545975,0.0,0.0
899.8816567545975,1016.70673195667,1.3574535068825617e-07,1.1160516836367938e-10
1016.70673195667,1148.6983549970353,1.1244422271416412e-06,3.695311786179853e-10
1148.6983549970353,1297.8254882147567,1.3257543486219336e-06,4.368233242248091e-10
1297.8254882147567,1466.312709975298,1.6800966201210436e-06,5.639031648372722e-10
1466.312709975298,1656.6733994357496,2.151353921443329e-06,6.705593206636033e-10
1656.6733994357496,1871.7472294461966,2.641994244059758e-06,8.581169214690998e-10
1871.7472294461966,2114.7425268811285,3.418014333426884e-06,1.1389541875154687e-09
2114.7425268811285,2389.2841323038974,4.4402466051407835e-06,1.4615994607984515e-09
2389.2841323038974,2699.4674729024773,7.34691503889971e-06,2.145280924659339e-09
2699.4674729024773,3049.919655320262,8.471797306386199e-06,2.650691405401911e-09
3049.919655320262,3445.868489723756,5.515345743757173e-05,9.600638781441344e-09
3445.868489723756,3893.2204747617334,5.060293712284228e-05,9.748009187769849e-09
3893.2204747617334,4398.648906743123,6.558368714425258e-06,2.1051494185328192e-09
4398.648906743123,4969.693427387147,7.937975612145526e-06,2.3077033765826584e-09
4969.693427387147,5614.872495132142,9.879187952154936e-06,3.053622863267388e-09
5614.872495132142,6343.810457774433,1.0571978400915159e-05,3.5231353465163996e-09
6343.810457774433,7167.381122021563,1.3743713279998304e-05,4.493732164234376e-09
7167.381122021563,8097.869961633985,3.4278973419732745e-05,9.158905043310054e-09
8097.869961633985,9149.157383867207,2.491499698576617e-05,8.361510458683073e-09
