x,y,flux_mean,flux_sigma,total_mean,total_sigma
-6.3849,-6.3849,0.0,0.0,0.0,0.0
-6.3849,-6.129504,0.0,0.0,0.0,0.0
-6.3849,-5.874108,0.0,0.0,0.0,0.0
-6.3849,-5.618712,0.0,0.0,0.0,0.0
-6.3849,-5.363316,0.0,0.0,0.0,0.0
-6.3849,-5.10792,0.0,0.0,0.0,0.0
-6.3849,-4.852524,0.0,0.0,0.0,0.0
-6.3849,-4.597128,0.0,0.0,0.0,0.0
-6.3849,-4.341732,0.0,0.0,0.0,0.0
-6.3849,-4.086335999999999,0.0,0.0,0.0,0.0
-6.3849,-3.83094,0.0,0.0,0.0,0.0
-6.3849,-3.575544,0.0,0.0,0.0,0.0
-6.3849,-3.3201479999999997,0.0,0.0,0.0,0.0
-6.3849,-3.064752,0.0,0.0,0.0,0.0
-6.3849,-2.8093559999999997,0.0,0.0,0.0,0.0
-6.3849,-2.55396,0.0,0.0,0.0,0.0
-6.3849,-2.298564,0.0,0.0,0.0,0.0
-6.3849,-2.0431679999999997,0.0,0.0,0.0,0.0
-6.3849,-1.7877719999999995,5.60396061809588e-07,6.601456156761107e-08,3.3900423831759523e-06,3.1226027651606537e-07
-6.3849,-1.5323760000000002,4.141013901641616e-06,1.8796072757325354e-07,2.6740667944572517e-05,1.0821266524462357e-06
-6.3849,-1.27698,7.6242833855212795e-06,2.6985621369030987e-07,4.8742218580868813e-05,1.5080250129064905e-06
-6.3849,-1.0215839999999998,1.1760171877737843e-05,3.3301821201846296e-07,7.786256445887845e-05,1.9703400122852937e-06
-6.3849,-0.7661879999999996,1.3412708689656567e-05,3.5689721678429744e-07,8.562339494520679e-05,1.963022073532948e-06
-6.3849,-0.5107919999999995,1.594698619795543e-05,3.8699878801052715e-07,0.00010509399771578933,2.295967198926736e-06
-6.3849,-0.2553959999999993,1.8149647796363967e-05,4.010035013467856e-07,0.00011649474218104644,2.447917807810582e-06
-6.3849,0.0,1.7564169794713198e-05,4.0229585236869077e-07,0.00011598379663008119,2.4627837554238527e-06
-6.3849,0.2553960000000002,1.6318484393124768e-05,3.8697299054572207e-07,0.00011167458415022141,2.40017558756068e-06
-6.3849,0.5107920000000004,1.6461313651793706e-05,4.0235744867544437e-07,0.0001065330216339953,2.31572255898302e-06
-6.3849,0.7661880000000005,1.3951581045485207e-05,3.6605558835643117e-07,9.130372410631814e-05,2.1157454070259713e-06
-6.3849,1.0215840000000007,1.1435111579460643e-05,3.4673562232853093e-07,7.362295945465095e-05,1.9454489051307966e-06
-6.3849,1.27698,7.642066131684458e-06,2.657427348269501e-07,4.767146842733227e-05,1.4773399138641867e-06
-6.3849,1.5323760000000002,4.352385609475965e-06,2.0009469219600074e-07,2.68713797525938e-05,1.1023879193666305e-06
