lower_edges,upper_edges,mean,sigma
100.0,112.98227098254235,0.0,0.0
112.98227098254235,127.64993556372616,0.0,0.0
127.64993556372616,144.2217961076498,0.0,0.0
144.2217961076498,162.94506049423458,0.0,0.0
162.94506049423458,184.09902980026348,0.0,0.0
184.09902980026348,207.99926472516506,0.0,0.0
207.99926472516506,235.00229291348137,0.0,0.0
235.00229291348137,265.51092739469743,0.0,0.0
265.51092739469743,299.9802754773383,0.0,0.0
299.9802754773383,338.924527733983,0.0,0.0
338.924527733983,382.9246283507105,0.0,0.0
382.9246283507105,432.63694126209293,0.0,0.0
432.63694126209293,488.8030413473199,0.0,0.0
488.8030413473199,552.2607767459375,0.0,0.0
552.2607767459375,623.9567673133882,0.0,0.0
623.9567673133882,704.9605256599227,0.0,0.0
704.9605256599227,796.4804114210489,0.0,0.0
796.4804114210489,899.8816567545975,0.0,0.0
899.8816567545975,1016.70673195667,1.3578115311159883e-07,1.0651503893253266e-10
1016.70673195667,1148.6983549970353,1.1248810466717557e-06,3.485799129498076e-10
1148.6983549970353,1297.8254882147567,1.3264904845647407e-06,4.184644885600985e-10
1297.8254882147567,1466.312709975298,1.6812068497023587e-06,5.391215613638443e-10
1466.312709975298,1656.6733994357496,2.1517771181840485e-06,6.522849318782505e-10
1656.6733994357496,1871.7472294461966,2.644347070585237e-06,8.603549488038973e-10
1871.7472294461966,2114.7425268811285,3.4163742149916357e-06,1.1466429330041485e-09
2114.7425268811285,2389.2841323038974,4.4436237533817935e-06,1.4748592704791415e-09
2389.2841323038974,2699.4674729024773,7.355627488191112e-06,2.27421441104505e-09
2699.4674729024773,3049.919655320262,8.467634210262319e-06,2.6487398098134214e-09
3049.919655320262,3445.868489723756,5.518454616939568e-05,9.56457100079168e-09
3445.868489723756,3893.2204747617334,5.0622756868860084e-05,9.839609042121403e-09
3893.2204747617334,4398.648906743123,6.560945186310743e-06,2.0423879934643697e-09
4398.648906743123,4969.693427387147,7.93733952973826e-06,2.289863240052508e-09
4969.693427387147,5614.872495132142,9.883179661829476e-06,3.014041828579368e-09
5614.872495132142,6343.810457774433,1.0578025403603564e-05,3.5069154425817912e-09
6343.810457774433,7167.381122021563,1.3752344602013067e-05,4.3695602800497636e-09
7167.381122021563,8097.869961633985,3.43101828649262e-05,9.35349984948605e-09
8097.869961633985,9149.157383867207,2.4927283835489844e-05,8.271246005162394e-09
