x,y,flux_mean,flux_sigma,total_mean,total_sigma
-6.3849,-6.3849,0.0,0.0,0.0,0.0
-6.3849,-6.129504,0.0,0.0,0.0,0.0
-6.3849,-5.874108,0.0,0.0,0.0,0.0
-6.3849,-5.618712,0.0,0.0,0.0,0.0
-6.3849,-5.363316,0.0,0.0,0.0,0.0
-6.3849,-5.10792,0.0,0.0,0.0,0.0
-6.3849,-4.852524,0.0,0.0,0.0,0.0
-6.3849,-4.597128,0.0,0.0,0.0,0.0
-6.3849,-4.341732,0.0,0.0,0.0,0.0
-6.3849,-4.086335999999999,0.0,0.0,0.0,0.0
-6.3849,-3.83094,0.0,0.0,0.0,0.0
-6.3849,-3.575544,0.0,0.0,0.0,0.0
-6.3849,-3.3201479999999997,0.0,0.0,0.0,0.0
-6.3849,-3.064752,0.0,0.0,0.0,0.0
-6.3849,-2.8093559999999997,0.0,0.0,0.0,0.0
-6.3849,-2.55396,0.0,0.0,0.0,0.0
-6.3849,-2.298564,0.0,0.0,0.0,0.0
-6.3849,-2.0431679999999997,0.0,0.0,0.0,0.0
-6.3849,-1.7877719999999995,1.2230912334553533e-06,3.193371436031164e-07,7.399642152350152e-06,1.7631383625629041e-06
-6.3849,-1.5323760000000002,3.5440368385760344e-06,5.214076118256512e-07,2.4092869943165098e-05,3.202161688166247e-06
-6.3849,-1.27698,9.558059860487288e-06,1.0303034379073321e-06,5.808670083954825e-05,5.359956763061948e-06
-6.3849,-1.0215839999999998,9.469635010736538e-06,9.588965545110904e-07,6.688875352520838e-05,6.259788843264855e-06
-6.3849,-0.7661879999999996,1.512735840289724e-05,1.1564577259590138e-06,9.777714349263067e-05,7.015977862894231e-06
-6.3849,-0.5107919999999995,1.6246358241239543e-05,1.2808386793878938e-06,0.0001040810971866977,7.232347608124012e-06
-6.3849,-0.2553959999999993,1.9161535081451578e-05,1.3347581852631811e-06,0.00012317180575093203,7.783118857435665e-06
-6.3849,0.0,1.6909852633667717e-05,1.266338364409539e-06,0.00011487676658751363,7.704637096414462e-06
-6.3849,0.2553960000000002,1.6480965509369197e-05,1.2541406836162345e-06,0.00010617624099913808,7.243444785646858e-06
-6.3849,0.5107920000000004,1.363971788633543e-05,1.0904066945647852e-06,9.737773119797744e-05,7.170861698696486e-06
-6.3849,0.7661880000000005,1.2489099507128152e-05,1.0765798556376778e-06,8.137814375715332e-05,6.297953169345762e-06
-6.3849,1.0215840000000007,1.0778849636919542e-05,9.475630716327129e-07,7.498512664798054e-05,6.352942388801714e-06
-6.3849,1.27698,7.763856016453566e-06,8.725896468832819e-07,4.659118798017584e-05,4.83131178566172e-06
-6.3849,1.5323760000000002,3.579564038689899e-06,5.493384062291397e-07,2.5295630882828374e-05,3.2584400002156095e-06
