x,y,flux_mean,flux_sigma,total_mean,total_sigma
-6.3849,-6.3849,0.0,0.0,0.0,0.0
-6.3849,-6.129504,0.0,0.0,0.0,0.0
-6.3849,-5.874108,0.0,0.0,0.0,0.0
-6.3849,-5.618712,0.0,0.0,0.0,0.0
-6.3849,-5.363316,0.0,0.0,0.0,0.0
-6.3849,-5.10792,0.0,0.0,0.0,0.0
-6.3849,-4.852524,0.0,0.0,0.0,0.0
-6.3849,-4.597128,0.0,0.0,0.0,0.0
-6.3849,-4.341732,0.0,0.0,0.0,0.0
-6.3849,-4.086335999999999,0.0,0.0,0.0,0.0
-6.3849,-3.83094,0.0,0.0,0.0,0.0
-6.3849,-3.575544,0.0,0.0,0.0,0.0
-6.3849,-3.3201479999999997,0.0,0.0,0.0,0.0
-6.3849,-3.064752,0.0,0.0,0.0,0.0
-6.3849,-2.8093559999999997,0.0,0.0,0.0,0.0
-6.3849,-2.55396,0.0,0.0,0.0,0.0
-6.3849,-2.298564,0.0,0.0,0.0,0.0
-6.3849,-2.0431679999999997,0.0,0.0,0.0,0.0
-6.3849,-1.7877719999999995,1.8554167617491396e-06,2.5675187805950724e-07,6.000000000000008e-07,8.274567569877504e-08
-6.3849,-1.5323760000000002,9.7687024072978e-06,5.868486672203096e-07,3.0600000000000067e-06,1.812988396798758e-07
-6.3849,-1.27698,1.7284358295175067e-05,7.410849596693341e-07,5.379999999999973e-06,2.2695177264587975e-07
-6.3849,-1.0215839999999998,2.253193944055425e-05,8.642624487901199e-07,7.13999999999995e-06,2.729375292899369e-07
-6.3849,-0.7661879999999996,2.877832044425532e-05,1.0118589454021196e-06,9.079999999999916e-06,3.1946150887964223e-07
-6.3849,-0.5107919999999995,3.247115136851277e-05,1.049310981698535e-06,1.0129999999999881e-05,3.258669809742812e-07
-6.3849,-0.2553959999999993,3.586484912089779e-05,1.0886110973239725e-06,1.1329999999999868e-05,3.4241546160819355e-07
-6.3849,0.0,3.66866767788791e-05,1.084348585724895e-06,1.1519999999999866e-05,3.391232882074136e-07
-6.3849,0.2553960000000002,3.595054063423518e-05,1.0823001310827589e-06,1.1269999999999882e-05,3.370470303988811e-07
-6.3849,0.5107920000000004,3.286715762797825e-05,1.0856922763082918e-06,1.0409999999999882e-05,3.4006991567551307e-07
-6.3849,0.7661880000000005,2.7146400560556326e-05,9.403457777890714e-07,8.489999999999917e-06,2.924130732464037e-07
-6.3849,1.0215840000000007,2.26409447544279e-05,8.568651089914445e-07,7.139999999999946e-06,2.685004515685081e-07
-6.3849,1.27698,1.6518774633340074e-05,7.48465304789009e-07,5.239999999999979e-06,2.3408801164774993e-07
-6.3849,1.5323760000000002,9.111036246040025e-06,5.377502948642715e-07,2.8700000000000064e-06,1.6820045003326068e-07
