lower_edges,upper_edges,mean,sigma
100.0,112.98227098254235,1.1197790138230269e-07,1.1197790138230269e-07
112.98227098254235,127.64993556372616,1.000882604696074e-07,1.0008826046960741e-07
127.64993556372616,144.2217961076498,3.2591808185722664e-07,2.1532707919289958e-07
144.2217961076498,162.94506049423458,0.0,0.0
162.94506049423458,184.09902980026348,0.0,0.0
184.09902980026348,207.99926472516506,4.371388220113211e-07,2.799119436604269e-07
207.99926472516506,235.00229291348137,2.868415312919351e-07,1.895167800043832e-07
235.00229291348137,265.51092739469743,6.723798936548558e-07,4.264712875333391e-07
265.51092739469743,299.9802754773383,3.3783459040170165e-07,2.603665232622566e-07
299.9802754773383,338.924527733983,8.883474273050332e-07,4.7618097269779326e-07
338.924527733983,382.9246283507105,1.0122190954203748e-06,5.96309538813134e-07
382.9246283507105,432.63694126209293,1.6366924639296653e-06,9.256965035858985e-07
432.63694126209293,488.8030413473199,3.5524608525661684e-06,1.554334028111521e-06
488.8030413473199,552.2607767459375,2.3009066306080388e-06,1.0146241771723372e-06
552.2607767459375,623.9567673133882,2.9476817862442084e-06,1.0628680108808459e-06
623.9567673133882,704.9605256599227,4.5219452996874654e-06,1.3793784555716976e-06
704.9605256599227,796.4804114210489,6.736575451122903e-06,1.8438781469727665e-06
796.4804114210489,899.8816567545975,6.5396518544507845e-06,1.5496311089902638e-06
899.8816567545975,1016.70673195667,7.2571804018558735e-06,1.680264789790724e-06
1016.70673195667,1148.6983549970353,9.245581776303766e-06,1.8811510983858946e-06
1148.6983549970353,1297.8254882147567,1.3765884762502858e-05,2.441293700569009e-06
1297.8254882147567,1466.312709975298,1.656588403501203e-05,2.4520954986468212e-06
1466.312709975298,1656.6733994357496,2.401823468642779e-05,3.5362497276805857e-06
1656.6733994357496,1871.7472294461966,2.8197500311150352e-05,4.0177101316957445e-06
1871.7472294461966,2114.7425268811285,3.525372196654571e-05,4.264704903365225e-06
2114.7425268811285,2389.2841323038974,4.5305986790987655e-05,5.188889581706019e-06
2389.2841323038974,2699.4674729024773,5.3155927805195934e-05,5.962993242029885e-06
2699.4674729024773,3049.919655320262,6.560620586957324e-05,6.554966479886009e-06
3049.919655320262,3445.868489723756,9.978077619446501e-05,8.147319992784027e-06
3445.868489723756,3893.2204747617334,0.00010702312879112431,8.6735008950467e-06
3893.2204747617334,4398.648906743123,0.0001345162855421518,9.840890301146659e-06
4398.648906743123,4969.693427387147,0.0001642089194100902,1.0597218023398564e-05
