x,y,flux_mean,flux_sigma,total_mean,total_sigma
-6.3849,-6.3849,0.0,0.0,0.0,0.0
-6.3849,-6.129504,0.0,0.0,0.0,0.0
-6.3849,-5.874108,0.0,0.0,0.0,0.0
-6.3849,-5.618712,0.0,0.0,0.0,0.0
-6.3849,-5.363316,0.0,0.0,0.0,0.0
-6.3849,-5.10792,0.0,0.0,0.0,0.0
-6.3849,-4.852524,0.0,0.0,0.0,0.0
-6.3849,-4.597128,0.0,0.0,0.0,0.0
-6.3849,-4.341732,0.0,0.0,0.0,0.0
-6.3849,-4.086335999999999,0.0,0.0,0.0,0.0
-6.3849,-3.83094,0.0,0.0,0.0,0.0
-6.3849,-3.575544,0.0,0.0,0.0,0.0
-6.3849,-3.3201479999999997,0.0,0.0,0.0,0.0
-6.3849,-3.064752,0.0,0.0,0.0,0.0
-6.3849,-2.8093559999999997,0.0,0.0,0.0,0.0
-6.3849,-2.55396,0.0,0.0,0.0,0.0
-6.3849,-2.298564,0.0,0.0,0.0,0.0
-6.3849,-2.0431679999999997,0.0,0.0,0.0,0.0
-6.3849,-1.7877719999999995,1.6728935030175824e-06,7.493713920168048e-07,5e-07,2.2315868748448895e-07
-6.3849,-1.5323760000000002,8.913972429585846e-06,1.7500429099804771e-06,2.799999999999999e-06,5.407887318098007e-07
-6.3849,-1.27698,1.6158313768411142e-05,2.3486681755711314e-06,4.799999999999999e-06,6.909684778898657e-07
-6.3849,-1.0215839999999998,2.596814378035609e-05,2.9506032200132633e-06,8.100000000000007e-06,9.084135705807215e-07
-6.3849,-0.7661879999999996,2.5082206129147854e-05,2.952792995006059e-06,8.000000000000005e-06,9.147878643908856e-07
-6.3849,-0.5107919999999995,4.1020824397421466e-05,3.7207839204313068e-06,1.279999999999998e-05,1.1565022686953514e-06
-6.3849,-0.2553959999999993,3.6886533805219325e-05,3.688543988759605e-06,1.179999999999999e-05,1.1498182822003138e-06
-6.3849,0.0,2.830647659017633e-05,3.1106743143635642e-06,8.900000000000001e-06,9.652573344563213e-07
-6.3849,0.2553960000000002,3.492411766693893e-05,3.35770786272939e-06,1.1199999999999991e-05,1.0562554973469606e-06
-6.3849,0.5107920000000004,3.256454561731397e-05,3.325354811358203e-06,1.0599999999999993e-05,1.0624353009801432e-06
-6.3849,0.7661880000000005,2.8887386386723855e-05,3.2715567915542694e-06,8.899999999999998e-06,9.958824136321427e-07
-6.3849,1.0215840000000007,2.4588415277737456e-05,3.1161811993500736e-06,7.6000000000000035e-06,9.503384361074447e-07
-6.3849,1.27698,1.7249669462231785e-05,2.286772714593958e-06,5.600000000000001e-06,7.410729985562755e-07
-6.3849,1.5323760000000002,8.99367192598208e-06,1.815083736572218e-06,2.8999999999999993e-06,5.84749460822267e-07
