lower_edges,upper_edges,mean,sigma
100.0,112.98227098254235,0.0,0.0
112.98227098254235,127.64993556372616,0.0,0.0
127.64993556372616,144.2217961076498,0.0,0.0
144.2217961076498,162.94506049423458,0.0,0.0
162.94506049423458,184.09902980026348,0.0,0.0
184.09902980026348,207.99926472516506,0.0,0.0
207.99926472516506,235.00229291348137,3.178335778944997e-06,3.178335778944997e-06
235.00229291348137,265.51092739469743,0.0,0.0
265.51092739469743,299.9802754773383,0.0,0.0
299.9802754773383,338.924527733983,4.6387852782713145e-06,4.6387852782713145e-06
338.924527733983,382.9246283507105,2.411388796056109e-06,2.411388796056109e-06
382.9246283507105,432.63694126209293,0.0,0.0
432.63694126209293,488.8030413473199,0.0,0.0
488.8030413473199,552.2607767459375,3.0768747506639534e-07,3.0768747506639534e-07
552.2607767459375,623.9567673133882,0.0,0.0
623.9567673133882,704.9605256599227,1.4134480930368811e-05,1.2319552592195103e-05
704.9605256599227,796.4804114210489,0.0,0.0
796.4804114210489,899.8816567545975,3.588293485018287e-06,2.679532082283998e-06
899.8816567545975,1016.70673195667,3.768493200380638e-06,2.3927044849679085e-06
1016.70673195667,1148.6983549970353,1.0280870551136644e-05,7.918142400783906e-06
1148.6983549970353,1297.8254882147567,1.3618365873795779e-05,9.893139352241318e-06
1297.8254882147567,1466.312709975298,1.5690900087878163e-05,7.740465749699938e-06
1466.312709975298,1656.6733994357496,8.73008378044849e-06,4.8698233215923206e-06
1656.6733994357496,1871.7472294461966,2.575152241679331e-05,8.568638102831196e-06
1871.7472294461966,2114.7425268811285,2.9905403793865067e-05,1.1413482485009139e-05
2114.7425268811285,2389.2841323038974,5.3972601799243e-05,1.6826699264086082e-05
2389.2841323038974,2699.4674729024773,4.301453332093907e-05,1.161118540353602e-05
2699.4674729024773,3049.919655320262,6.538002282166174e-05,1.8057880513662498e-05
3049.919655320262,3445.868489723756,8.618857779871963e-05,2.6051489261207986e-05
3445.868489723756,3893.2204747617334,8.720124943557519e-05,2.2883324440486085e-05
3893.2204747617334,4398.648906743123,0.00016835681824074953,3.253643166452894e-05
4398.648906743123,4969.693427387147,0.00016126995612897178,3.634296944942642e-05
4969.693427387147,5614.872495132142,0.00020736595421444562,3.4373429282221266e-05
5614.872495132142,6343.810457774433,0.0003008670684631064,5.197113016231321e-05
6343.810457774433,7167.381122021563,0.00030358265933361954,4.568774259905938e-05
