lower_edges,upper_edges,mean,sigma
100.0,112.98227098254235,2.4492673990616113e-07,7.862857518117244e-08
112.98227098254235,127.64993556372616,2.288947684478042e-07,7.207915846523231e-08
127.64993556372616,144.2217961076498,2.2755851702470618e-07,1.0189661581702026e-07
144.2217961076498,162.94506049423458,6.119845568163852e-07,1.580089616792214e-07
162.94506049423458,184.09902980026348,5.9037413788868e-07,1.4080751689644312e-07
184.09902980026348,207.99926472516506,4.5120770514934733e-07,1.1349911691018252e-07
207.99926472516506,235.00229291348137,8.230965957618617e-07,1.636040749991378e-07
235.00229291348137,265.51092739469743,8.13013580827272e-07,1.7972592177030106e-07
265.51092739469743,299.9802754773383,6.414501437672871e-07,1.1802914443931513e-07
299.9802754773383,338.924527733983,1.6554019107650325e-06,2.5612483477082307e-07
338.924527733983,382.9246283507105,2.2442950932186816e-06,2.970987725655934e-07
382.9246283507105,432.63694126209293,1.861738388377984e-06,2.780542439177083e-07
432.63694126209293,488.8030413473199,2.4010497839578835e-06,2.9686995155509687e-07
488.8030413473199,552.2607767459375,2.279266771745018e-06,2.818937648890232e-07
552.2607767459375,623.9567673133882,4.41662223132598e-06,4.6143930340112325e-07
623.9567673133882,704.9605256599227,5.692524717645858e-06,5.678716356842235e-07
704.9605256599227,796.4804114210489,5.9477297083189405e-06,5.18358982073715e-07
796.4804114210489,899.8816567545975,7.250035651808978e-06,5.778104565306448e-07
899.8816567545975,1016.70673195667,9.683587494124223e-06,6.889458955434921e-07
1016.70673195667,1148.6983549970353,1.1504960798008955e-05,7.57020378678851e-07
1148.6983549970353,1297.8254882147567,1.4883485558296217e-05,9.360674215475777e-07
1297.8254882147567,1466.312709975298,1.6867075430524765e-05,8.966060089299405e-07
1466.312709975298,1656.6733994357496,2.2733131471572247e-05,1.0870576125992156e-06
1656.6733994357496,1871.7472294461966,2.880848608274597e-05,1.2918410324180053e-06
1871.7472294461966,2114.7425268811285,4.043023030355709e-05,1.6443893807155924e-06
2114.7425268811285,2389.2841323038974,4.5413165446074504e-05,1.6622267517190205e-06
2389.2841323038974,2699.4674729024773,5.2727280356259636e-05,1.7106346962285569e-06
2699.4674729024773,3049.919655320262,6.871086510344591e-05,2.118688251676959e-06
3049.919655320262,3445.868489723756,9.821640457950919e-05,2.6167155668026986e-06
3445.868489723756,3893.2204747617334,0.00010838945337798592,2.6110846457260194e-06
3893.2204747617334,4398.648906743123,0.00013615824311676784,3.006478002722449e-06
4398.648906743123,4969.693427387147,0.00017091910124473854,3.564720258903162e-06
4969.693427387147,5614.872495132142,0.00020104728893136209,3.745747582237484e-06
5614.872495132142,6343.810457774433,0.0002539761207685988,4.331125409053059e-06
6343.810457774433,7167.381122021563,0.00031129168551625015,5.102125140492047e-06
7167.381122021563,8097.869961633985,0.00038523582514397734,5.368065287218137e-06
8097.869961633985,9149.157383867207,0.00044794346251535654,5.878994227902719e-06
9149.157383867207,10336.92578806012,0.0005639645862293205,6.656515078752812e-06
10336.92578806012,11678.893505130372,0.0006788781873163001,7.44453472971027e-06
11678.893505130372,13195.079107728949,0.0008481295704997181,8.326472899095615e-06
13195.079107728949,14908.100033855137,0.0010225022993471367,8.53377169520928e-06
14908.100033855137,16843.509978598715,0.0012472053281977033,9.868045871693355e-06
16843.509978598715,19030.18008699194,0.0015043972640030729,1.1211612211766496e-05
19030.18008699194,21500.72963435102,0.0018674026086883068,1.2107544271688589e-05
21500.72963435102,24292.012618706234,0.0022545820696774637,1.4004479665037973e-05
24292.012618706234,27445.667523980028,0.0027669000883106232,1.49727021491332e-05
27445.667523980028,31008.738454910766,0.003315407784617491,1.6109332271013717e-05
31008.738454910766,35034.376909395134,0.0039848757267622594,1.815500427215462e-05
35034.376909395134,39582.63465681801,0.0048632721565914595,2.060305083183403e-05
39582.63465681801,44721.359549995796,0.005878671613794413,2.1738791014349302e-05
44721.359549995796,50527.20763385328,0.0070594089008166674,2.420754829454699e-05
50527.20763385328,57086.78664879187,0.008432574839037865,2.7317074904262415e-05
57086.78664879187,64497.9479867639,0.010123297236009274,2.903298696936644e-05
64497.9479867639,72871.24637258488,0.012138613673744905,3.213973323097858e-05
72871.24637258488,82331.58904502982,0.01459707516112143,3.3921956265417785e-05
82331.58904502982,93020.09903908864,0.017294695536065073,3.97931240132414e-05
93020.09903908864,105096.22036457229,0.020461354434524747,4.341591304178988e-05
105096.22036457229,118740.0964847108,0.024373653060081907,4.552067435734067e-05
118740.0964847108,134155.25757528833,0.028800417484348757,4.92965347886664e-05
134155.25757528833,151571.65665103975,0.03378629254960364,5.240429562669127e-05
151571.65665103975,171249.09985020658,0.039327272938973534,5.994618956700175e-05
171249.09985020658,193481.1220479247,0.046058302491920604,6.453098004204285e-05
193481.1220479247,218599.36561224956,0.05341470718606798,6.411848810276182e-05
218599.36561224956,246978.52762215002,0.06224135653235713,7.019662766105222e-05
246978.52762215002,279041.94934675103,0.07120057915881112,7.788664223290602e-05
279041.94934675103,315267.93136591447,0.0813027788588212,8.525438872997183e-05
315267.93136591447,356196.86853689345,0.09212847382611938,8.758287733384953e-05
356196.86853689345,402439.3112416826,0.10320099617694195,9.389575656228402e-05
402439.3112416826,454685.0731673544,0.11501425352741522,9.749986218336582e-05
454685.0731673544,513713.52148311073,0.12702842417793517,9.839584597857747e-05
513713.52148311073,580405.2029160084,0.13794612119789704,0.00010320164928878988
580405.2029160084,655754.9791553401,0.14927211712005922,0.0001068226529453451
655754.9791553401,740886.8675308011,0.16043032663820378,0.00010891969297218589
740886.8675308011,837070.8083477184,0.17123335463838574,0.000114444936616077
837070.8083477184,945741.6090031759,0.18245181298539365,0.0001202938730297801
945741.6090031759,1068520.3474786233,0.19169666861254747,0.00011867794499045156
1068520.3474786233,1207238.5544919022,0.20184597678136904,0.00012189817826521508
1207238.5544919022,1363965.5350417667,0.20984646299791807,0.00012316700411513516
1363965.5350417667,1541039.2369093709,0.2159306589174686,0.00011822823461850359
1541039.2369093709,1741101.1265922498,0.2211449849828072,0.00012029807583609064
1741101.1265922498,1967135.5929265514,0.22434128228037187,0.00012080887744548063
1967135.5929265514,2222514.466194315,0.22367558247004515,0.00011786000889495114
2222514.466194315,2511047.316821868,0.21947151802571432,0.00011780659103034702
2511047.316821868,2837038.2839915385,0.2096527015331089,0.000118780456888911
2837038.2839915385,3205350.281897786,0.19569166372120622,0.00011492185345777093
3205350.281897786,3621477.541433445,0.17662299054687128,0.00010828222101216509
3621477.541433445,4091627.569434243,0.1540368380508756,9.951208940933705e-05
4091627.569434243,4622813.7480946025,0.12858677116973466,9.102138639933585e-05
4622813.7480946025,5222959.955890471,0.10291024293734737,8.050283402061422e-05
5222959.955890471,5901018.77067384,0.07805974219801683,7.25433413708826e-05
