x,y,flux_mean,flux_sigma,total_mean,total_sigma
-0.62992,-0.62992,0.0001641364682668294,6.410655101496871e-06,0.00015070000000000044,4.1733591897807024e-06
-0.62992,-0.6047232,0.00016556383927216714,6.01886062621889e-06,0.00015350000000000026,4.101777002053471e-06
-0.62992,-0.5795264,0.0001598281780957644,5.687997905241234e-06,0.0001513000000000003,3.866944952189444e-06
-0.62992,-0.5543296,0.00014444320986404635,5.603392878086697e-06,0.00014220000000000056,3.900560776910731e-06
-0.62992,-0.5291328000000001,0.00016387845597805382,6.336793187042376e-06,0.0001554000000000003,4.366910797109328e-06
-0.62992,-0.503936,0.00015663369950466528,5.908263419148265e-06,0.00014310000000000033,4.072957031320007e-06
-0.62992,-0.47873920000000003,0.00015354475376989956,5.365762156672308e-06,0.00015320000000000017,4.05785980859694e-06
-0.62992,-0.4535424,0.00016906868533187692,6.342133101819451e-06,0.0001568000000000004,4.2487423800239936e-06
-0.62992,-0.4283456,0.00015768343868466435,5.670845133808256e-06,0.0001477000000000003,3.961111005816492e-06
-0.62992,-0.40314880000000003,0.00015779178056515974,5.835102661478658e-06,0.00015270000000000008,4.241544612602928e-06
-0.62992,-0.377952,0.00016202789847812873,6.002505835764949e-06,0.00015180000000000017,4.253804750438727e-06
-0.62992,-0.3527552,0.00015097924714268542,5.868551512477458e-06,0.00014030000000000067,4.01023590228705e-06
-0.62992,-0.3275584,0.00015940040611302813,6.189179186032346e-06,0.00014900000000000034,4.1419990531332e-06
-0.62992,-0.3023616,0.00016048292921147384,5.612829731173742e-06,0.00015150000000000043,4.026656673217136e-06
-0.62992,-0.2771648,0.00016224445441481922,5.895676950011591e-06,0.0001512000000000003,3.948943422506111e-06
-0.62992,-0.251968,0.00014390552324831013,5.425570287910131e-06,0.00014400000000000038,4.069466864413655e-06
-0.62992,-0.2267712,0.00015585602634315255,5.954887917757891e-06,0.0001451000000000006,4.068481601598143e-06
-0.62992,-0.2015744,0.00015946064712110065,6.10677855115253e-06,0.00014790000000000053,4.080715898251472e-06
-0.62992,-0.17637760000000002,0.00015275110727679535,5.7792248115999305e-06,0.0001474000000000003,3.938114872467399e-06
-0.62992,-0.1511808,0.0001459502680571077,5.300654576701028e-06,0.00014250000000000064,3.9773822508742625e-06
-0.62992,-0.12598399999999998,0.00016987525945757405,6.373738094793755e-06,0.00015760000000000052,4.211885561121055e-06
-0.62992,-0.10078719999999997,0.00016274969713081313,6.435186302481634e-06,0.00014400000000000038,4.04974078187735e-06
-0.62992,-0.07559039999999995,0.00016045621921909268,6.036082397290963e-06,0.0001467000000000005,3.850186220682586e-06
-0.62992,-0.05039360000000004,0.00015911356618284906,6.1075872943058675e-06,0.00015020000000000045,4.154180691450168e-06
-0.62992,-0.02519680000000002,0.0001556877852607965,5.596287332161146e-06,0.00014580000000000032,3.929096308032926e-06
-0.62992,0.0,0.0001627561448508999,5.807801526319414e-06,0.00015260000000000057,4.013645394071259e-06
-0.62992,0.02519680000000002,0.00015809759491043464,6.125290073732044e-06,0.0001485000000000005,4.242139288819483e-06
-0.62992,0.05039360000000004,0.00015678860560263753,6.057392793232338e-06,0.00014460000000000045,3.955563990948266e-06
-0.62992,0.07559040000000006,0.00015169744629866527,5.849288809597589e-06,0.0001390000000000005,3.854069778020891e-06
-0.62992,0.10078719999999997,0.00015416024232647662,5.791982013374233e-06,0.00014230000000000042,3.885332135841921e-06
-0.62992,0.12598399999999998,0.0001574644038955545,5.699989954486241e-06,0.0001511000000000004,4.0416735549924424e-06
-0.62992,0.1511808,0.00016439116664533399,6.0223590633860145e-06,0.00014960000000000055,3.966809243658639e-06
-0.62992,0.17637760000000002,0.00015522209073234031,5.859210343448681e-06,0.0001475000000000005,3.910120079874674e-06
-0.62992,0.20157440000000004,0.000152684498458923,5.621585614634809e-06,0.00014380000000000051,3.828343795457289e-06
-0.62992,0.22677120000000006,0.00015873718189776524,6.146898289566799e-06,0.0001492000000000005,4.244688136645316e-06
