x,y,flux_mean,flux_sigma,total_mean,total_sigma
-0.62992,-0.62992,5.646970545409622e-05,2.90245742160058e-05,4e-06,1.9969947390987257e-06
-0.62992,-0.6047232,0.00018529892171943916,6.368545246529932e-05,1.159219327228836e-05,3.7618921897336464e-06
-0.62992,-0.5795264,0.00018090416622154238,5.673614921570079e-05,1.1593428272260943e-05,3.486064228770288e-06
-0.62992,-0.5543296,0.0001063140424056758,4.158162909829721e-05,7.147707688495658e-06,2.6969272570207613e-06
-0.62992,-0.5291328000000001,8.916433618960801e-05,3.895455275828463e-05,6.147461620376702e-06,2.5070225463508365e-06
-0.62992,-0.503936,0.00021867630896675567,6.469977664319283e-05,1.2596148673535478e-05,3.6243110144998304e-06
-0.62992,-0.47873920000000003,9.324044232371384e-05,4.199214489927842e-05,6e-06,2.4433521993298407e-06
-0.62992,-0.4535424,9.6449398015539e-05,3.737273396843863e-05,7.591904138867067e-06,2.867400014298112e-06
-0.62992,-0.4283456,0.00013358107332604694,5.313451567202121e-05,8.1588827177391e-06,2.8783200851860317e-06
-0.62992,-0.40314880000000003,0.0002358632767285331,6.842170853208934e-05,1.3149146846519425e-05,3.627781582632213e-06
-0.62992,-0.377952,0.00022692096717820986,6.843246148752575e-05,1.2443074083392518e-05,3.5790454119527656e-06
-0.62992,-0.3527552,0.00021461529603866182,7.752609529945339e-05,1.0887756571963108e-05,3.435130763665409e-06
-0.62992,-0.3275584,0.00014791022332798635,5.969987581797333e-05,7.148338270765024e-06,2.6971942645963215e-06
-0.62992,-0.3023616,0.00011543133754054227,4.442945663623314e-05,8.147532832771037e-06,3.2032343062984773e-06
-0.62992,-0.2771648,0.00011426866877408465,4.908547830199026e-05,6.313690599276956e-06,2.5774946541574293e-06
-0.62992,-0.251968,0.00016926672438080266,5.3668924328591507e-05,1.1443259983323285e-05,3.4398979717122427e-06
-0.62992,-0.2267712,8.539058521865534e-05,4.080180388540935e-05,5.148109427111905e-06,2.301510194442952e-06
-0.62992,-0.2015744,4.8301033753996204e-05,2.7978789443028786e-05,4e-06,1.9969947390987257e-06
-0.62992,-0.17637760000000002,0.00019299538424353915,6.945286696445486e-05,1.229502826137463e-05,3.8074803435231266e-06
-0.62992,-0.1511808,0.000204958670634305,7.500156076928989e-05,9.449296747773862e-06,3.144278663874908e-06
-0.62992,-0.12598399999999998,0.00011091742984100178,4.631919972942414e-05,6.296038646005971e-06,2.569603253248032e-06
-0.62992,-0.10078719999999997,0.00013307057931773538,4.2358581859238685e-05,1.0296629079831834e-05,3.246809911556977e-06
-0.62992,-0.07559039999999995,0.00011027975561230239,4.665794753060074e-05,6.147291369600382e-06,2.5069449672151564e-06
-0.62992,-0.05039360000000004,0.00017867285726911266,5.2550634865046774e-05,1.4443631703538729e-05,3.84174558745829e-06
-0.62992,-0.02519680000000002,0.00024898535864248324,7.354534699275162e-05,1.4147656156261747e-05,4.0166019929611565e-06
-0.62992,0.0,0.00015473982165778037,5.796617527804175e-05,8.296177542755859e-06,2.928475017227179e-06
-0.62992,0.02519680000000002,0.00026896108352063774,7.508344410787875e-05,1.604081570603654e-05,4.122634917994032e-06
-0.62992,0.05039360000000004,0.0001292493748482951,5.112465398628342e-05,8e-06,2.8185003005044975e-06
-0.62992,0.07559040000000006,0.00010786668582744003,4.9223321661866365e-05,7.147283323727154e-06,2.6967476362846047e-06
-0.62992,0.10078719999999997,0.00012955164916525749,4.967954968923745e-05,8.147236124198766e-06,2.8736790529741937e-06
-0.62992,0.12598399999999998,0.00021262488027273642,6.597784685155941e-05,1.115199094407801e-05,3.348720675628878e-06
-0.62992,0.1511808,0.00010974284436252026,4.387350904296492e-05,7e-06,2.637794146243781e-06
-0.62992,0.17637760000000002,0.00023123314612303635,7.178310788434775e-05,1.458970932890757e-05,4.167190457036822e-06
-0.62992,0.20157440000000004,0.00011748192663450647,4.762498217023907e-05,7.147710068535288e-06,2.696928264573919e-06
-0.62992,0.22677120000000006,0.0001510822418131173,5.748811155075356e-05,8.443165947517453e-06,2.9815096489839563e-06
-0.62992,0.2519680000000001,0.00018184172956281405,6.489159033246534e-05,1.3331062607909127e-05,4.194492632993654e-06
-0.62992,0.2771648,0.0001387430035691528,5.421285283888232e-05,9.147794689970732e-06,3.0402291848035544e-06
-0.62992,0.3023616,0.00012136413127425743,4.777804034362302e-05,8.14792780846397e-06,2.8739535721733504e-06
-0.62992,0.3275584,0.00010272050614429582,4.193950503378652e-05,7.295005745484034e-06,2.7546136963286322e-06
-0.62992,0.35275520000000005,0.00013682748063682744,5.3415468580541586e-05,9.146929959065224e-06,3.0399051015371617e-06
-0.62992,0.37795200000000007,7.718196623514905e-05,4.004403515070125e-05,4.320374876862613e-06,2.162948039817196e-06
-0.62992,0.4031488000000001,9.809809448418328e-05,4.449929646590786e-05,6.147355069580765e-06,2.5069739926734623e-06
-0.62992,0.4283456000000001,7.164297160211245e-05,3.7986756243259765e-05,4e-06,1.9969947390987257e-06
-0.62992,0.4535424000000001,0.0001685872769160648,5.452179561208962e-05,1.1147850696927312e-05,3.3473110310238495e-06
-0.62992,0.47873920000000014,0.00017656392629616924,6.48770951677531e-05,9.596047041749798e-06,3.193597366795162e-06
-0.62992,0.5039359999999999,0.00015515064496207857,5.835770230504092e-05,9.148182821035869e-06,3.0403747170397934e-06
-0.62992,0.5291328,0.00011629317323268263,4.8593917244095186e-05,6e-06,2.4433521993298402e-06
-0.62992,0.5543296,0.00012258185264629715,5.463769560754274e-05,6.305095157676272e-06,2.573643316142721e-06
-0.62992,0.5795264,9.394904736361508e-05,4.248844125011929e-05,5.294846902074382e-06,2.3686993377000587e-06
-0.62992,0.6047232,9.070917861443752e-05,3.9015147651310034e-05,6.3042507100577415e-06,2.5732594059390474e-06
-0.62992,0.62992,9.161267920172172e-05,4.446429813473987e-05,5.295603125330427e-06,2.3690643928383897e-06
-0.6047232,-0.62992,8.011628017634532e-05,3.7060915307986374e-05,5.147450934012712e-06,2.301182921387663e-06
-0.6047232,-0.6047232,0.00026594837569965786,8.535642036278476e-05,1.3444224196746209e-05,3.9735713191666124e-06
-0.6047232,-0.5795264,0.00021354658821368604,6.293230036712944e-05,1.329575777698488e-05,3.6704150594736173e-06
-0.6047232,-0.5543296,8.113448511604502e-05,3.694035733058571e-05,5.293873147462814e-06,2.368229386925117e-06
-0.6047232,-0.5291328000000001,0.00011013816799061763,4.171431291693189e-05,8.294894703708726e-06,2.9279751773911287e-06
-0.6047232,-0.503936,0.00010665779899904663,5.1483267392333374e-05,5.295820343894485e-06,2.3691692889295273e-06
-0.6047232,-0.47873920000000003,0.00013355995184254562,5.088148115153814e-05,8.147305923366323e-06,2.873706748863041e-06
-0.6047232,-0.4535424,0.0001565884265818086,5.586277150621975e-05,9.443957114322828e-06,3.1423398143553644e-06
-0.6047232,-0.4283456,0.00016730783374347864,6.009074622168541e-05,9.589801629079486e-06,3.191361909163316e-06
-0.6047232,-0.40314880000000003,0.000154333628062534,6.0148659780016504e-05,9.29706752084495e-06,3.0921490766246823e-06
-0.6047232,-0.377952,0.00016846203127434355,6.495188822898756e-05,8.296009290715649e-06,2.928409320931177e-06
-0.6047232,-0.3527552,0.00017385394055450558,5.5024002072233105e-05,1.1444017326874711e-05,3.440148465152547e-06
-0.6047232,-0.3275584,8.655777099786072e-05,4.6703250957296404e-05,5.447132822058119e-06,2.4366343312805655e-06
-0.6047232,-0.3023616,0.0002509038446472415,7.879332742946987e-05,1.4441919588985553e-05,3.841239820849133e-06
-0.6047232,-0.2771648,9.62834738540654e-05,4.6571356387223374e-05,6.741553962463002e-06,2.7486741281900393e-06
-0.6047232,-0.251968,0.00021705044992684826,6.471657782709911e-05,1.2591360301116388e-05,3.6228069534628637e-06
-0.6047232,-0.2267712,0.00015918436503309735,5.967839546637129e-05,9.442598269145911e-06,3.1418470899515557e-06
-0.6047232,-0.2015744,8.98222372469899e-05,4.167067418035049e-05,5.444471015053742e-06,2.4353818158322546e-06
-0.6047232,-0.17637760000000002,3.842785286052186e-05,2.761936817555859e-05,2.148454064592673e-06,1.522053721503584e-06
-0.6047232,-0.1511808,5.6627847975489365e-05,2.9103755588354873e-05,4.1477654305737e-06,2.07472070205715e-06
-0.6047232,-0.12598399999999998,0.0001972642812608572,6.175345701444852e-05,1.2295849311308121e-05,3.535077211425686e-06
-0.6047232,-0.10078719999999997,0.00016751991105365998,6.392012070197103e-05,8.294265103926228e-06,2.9277300086213676e-06
-0.6047232,-0.07559039999999995,0.00011019009562604526,5.187632458937677e-05,6.296668331368691e-06,2.5698830910587145e-06
-0.6047232,-0.05039360000000004,7.100540566694108e-05,3.187419557194866e-05,5.300475507302629e-06,2.3714184525208866e-06
-0.6047232,-0.02519680000000002,0.0001110343001052044,5.03348379007804e-05,6.295407404746978e-06,2.5693222778084526e-06
-0.6047232,0.0,9.973545655757078e-05,4.540571757098053e-05,6.147875471615969e-06,2.5072111664868677e-06
-0.6047232,0.02519680000000002,0.00016995488275590114,6.38728045069871e-05,1.08099334396415e-05,3.8015351784677014e-06
-0.6047232,0.05039360000000004,0.0001168728489652636,5.4918050404072116e-05,6.443647692488632e-06,2.6302664135710464e-06
-0.6047232,0.07559040000000006,0.0002035374411089799,7.525906393304493e-05,1.044205655172551e-05,3.5851176284921556e-06
-0.6047232,0.10078719999999997,0.00010951114350005467,4.223455416204011e-05,7e-06,2.637794146243781e-06
-0.6047232,0.12598399999999998,0.00013656946734509563,5.2672733450863025e-05,9.444202743974776e-06,3.1424295165188137e-06
-0.6047232,0.1511808,8.770508236938983e-05,3.714355712345417e-05,6.304493864144353e-06,2.5733785820094163e-06
-0.6047232,0.17637760000000002,0.0001868008834318877,6.158687781263792e-05,1.02962068111637e-05,3.2466617965401314e-06
-0.6047232,0.20157440000000004,0.00021023645850334408,6.783254413835321e-05,1.3147986251222949e-05,3.893605405480652e-06
-0.6047232,0.22677120000000006,0.00016824237655548683,6.292998365726178e-05,9.45000792408861e-06,3.44820718910073e-06
