lower_edges,upper_edges,mean,sigma
1e-06,1.358345661446175e-06,0.0,0.0
1.358345661446175e-06,1.8451029359696463e-06,2.1097727756825722e-08,2.1097727756825722e-08
1.8451029359696463e-06,2.506287567995974e-06,2.1138679962124242e-08,2.1138679962124242e-08
2.506287567995974e-06,3.4044048443238158e-06,4.239784343151699e-08,2.996480206500827e-08
3.4044048443238158e-06,4.624358550093595e-06,4.260449672840193e-08,3.0110871860508744e-08
4.624358550093595e-06,6.281477373491172e-06,0.0,0.0
6.281477373491172e-06,8.532417537754048e-06,2.1547751574009157e-08,2.1547751574009157e-08
8.532417537754048e-06,1.1589972344055465e-05,8.800126120276328e-08,4.394493194013487e-08
1.1589972344055465e-05,1.5743188649828894e-05,1.7460075393703435e-07,6.58562561675519e-08
1.5743188649828894e-05,2.1384691999823743e-05,3.1935173898755684e-07,9.592693510771421e-08
2.1384691999823743e-05,2.9047803599323368e-05,9.150865596607638e-07,1.7844068158456243e-07
2.9047803599323368e-05,3.945695799368148e-05,1.5596763691615775e-06,2.639034216001215e-07
3.945695799368148e-05,5.359618770458121e-05,2.28566032515381e-06,3.509861426901916e-07
5.359618770458121e-05,7.280214903857285e-05,4.8660098620832516e-06,5.156236786400359e-07
7.280214903857285e-05,9.889048329050325e-05,7.668160010909874e-06,6.996527533133647e-07
9.889048329050325e-05,0.00013432745893597053,2.140047142777476e-05,2.821416026768316e-06
0.00013432745893597053,0.0001824631210587648,3.108796624755577e-05,2.697678794861248e-06
0.0001824631210587648,0.0002478479888641016,6.12663015511532e-05,4.348730799943592e-06
0.0002478479888641016,0.0003366632403717126,0.00011312735829252158,6.514912300454623e-06
0.0003366632403717126,0.00045730505192732656,0.0002022598208228341,8.860164452196137e-06
0.00045730505192732656,0.0006211783332429017,0.00037257759395698946,1.1665621677574946e-05
0.0006211783332429017,0.0008437748939448626,0.000675832948363073,1.6952086053604228e-05
0.0008437748939448626,0.0011461379664272117,0.0012375264002438893,2.369102542981764e-05
0.0011461379664272117,0.0015568515341151446,0.002312998512735679,3.496343616433888e-05
0.0015568515341151446,0.0021147425268811283,0.004184610258060252,4.8953130570960515e-05
0.0021147425268811283,0.0028725513364647043,0.007722353019850922,7.264613733013099e-05
0.0028725513364647043,0.0039019176451682465,0.014016079119530693,9.949892035551119e-05
0.0039019176451682465,0.005300152904634563,0.02495726035508716,0.0001447189468117674
0.005300152904634563,0.007199439703011701,0.044719867109310245,0.00021197837074768045
0.007199439703011701,0.009779327685429292,0.07791660368159908,0.0003030293944952652
0.009779327685429292,0.013283707333363355,0.13161111745849752,0.0004343974065904956
0.013283707333363355,0.01804386622419485,0.21664500645348025,0.0006173393351126378
0.01804386622419485,0.02450980740135025,0.34581528080140117,0.004650430316747693
0.02450980740135025,0.033292790546505455,0.5100661661746717,0.005020201754356073
0.033292790546505455,0.045223117596282,0.6928775439178549,0.0071488378770874035
0.045223117596282,0.06142862558397983,0.82993264350886,0.007370908469066528
0.06142862558397983,0.0834413070506005,0.86327356293849,0.009031198995301927
0.0834413070506005,0.11334213741758155,0.7651755324937727,0.007491248168694892
0.11334213741758155,0.15395780062020806,0.6001601573481609,0.0054230895618496335
0.15395780062020806,0.20912791051825483,0.46434361843228644,0.005394956020510824
0.20912791051825483,0.28406798993977533,0.3846948393063237,0.0010074940535136506
0.28406798993977533,0.38586252169042945,0.3645220177511029,0.0009507826494023264
0.38586252169042945,0.5241346822528765,0.3667122773086622,0.0010395656933239212
