lower_edges,upper_edges,mean,sigma
100.0,112.98227098254235,0.0,0.0
112.98227098254235,127.64993556372616,0.0,0.0
127.64993556372616,144.2217961076498,0.0,0.0
144.2217961076498,162.94506049423458,0.0,0.0
162.94506049423458,184.09902980026348,0.0,0.0
184.09902980026348,207.99926472516506,0.0,0.0
207.99926472516506,235.00229291348137,0.0,0.0
235.00229291348137,265.51092739469743,0.0,0.0
265.51092739469743,299.9802754773383,0.0,0.0
299.9802754773383,338.924527733983,0.0,0.0
338.924527733983,382.9246283507105,0.0,0.0
382.9246283507105,432.63694126209293,0.0,0.0
432.63694126209293,488.8030413473199,0.0,0.0
488.8030413473199,552.2607767459375,0.0,0.0
552.2607767459375,623.9567673133882,0.0,0.0
623.9567673133882,704.9605256599227,0.0,0.0
704.9605256599227,796.4804114210489,0.0,0.0
796.4804114210489,899.8816567545975,0.0,0.0
899.8816567545975,1016.70673195667,6.085829442475383e-07,5.303106758059491e-09
1016.70673195667,1148.6983549970353,7.301225208107896e-06,2.6113825814632996e-08
1148.6983549970353,1297.8254882147567,4.573385195731749e-06,3.835613404964811e-09
1297.8254882147567,1466.312709975298,5.853067227914894e-06,5.055938926507322e-09
1466.312709975298,1656.6733994357496,7.204684259311232e-06,6.17153635273128e-09
1656.6733994357496,1871.7472294461966,9.255001259027339e-06,7.855778386178983e-09
1871.7472294461966,2114.7425268811285,1.2069430141965135e-05,1.0592307541811351e-08
2114.7425268811285,2389.2841323038974,1.5835886027972928e-05,1.4710595480357602e-08
2389.2841323038974,2699.4674729024773,2.628482095497112e-05,2.0582078370214815e-08
2699.4674729024773,3049.919655320262,3.046936842144153e-05,2.6881141558395435e-08
3049.919655320262,3445.868489723756,0.000288272747799104,1.0936370569624667e-07
3445.868489723756,3893.2204747617334,6.905785943114829e-05,5.108249859235513e-08
3893.2204747617334,4398.648906743123,2.6857448426986374e-05,4.7866388305660036e-08
4398.648906743123,4969.693427387147,3.5732778211436586e-05,6.786472260669307e-08
4969.693427387147,5614.872495132142,4.1656085966402585e-05,9.192190597683625e-08
5614.872495132142,6343.810457774433,5.215603339152715e-05,1.3499979324708522e-07
6343.810457774433,7167.381122021563,7.122131104894833e-05,1.9031486337265482e-07
7167.381122021563,8097.869961633985,0.0006088330763163821,6.861046631563353e-07
8097.869961633985,9149.157383867207,0.00021356006126583044,5.25941115881754e-07
