lower_edges,upper_edges,mean,sigma
100.0,112.98227098254235,0.0,0.0
112.98227098254235,127.64993556372616,0.0,0.0
127.64993556372616,144.2217961076498,0.0,0.0
144.2217961076498,162.94506049423458,0.0,0.0
162.94506049423458,184.09902980026348,0.0,0.0
184.09902980026348,207.99926472516506,0.0,0.0
207.99926472516506,235.00229291348137,0.0,0.0
235.00229291348137,265.51092739469743,0.0,0.0
265.51092739469743,299.9802754773383,0.0,0.0
299.9802754773383,338.924527733983,0.0,0.0
338.924527733983,382.9246283507105,0.0,0.0
382.9246283507105,432.63694126209293,0.0,0.0
432.63694126209293,488.8030413473199,0.0,0.0
488.8030413473199,552.2607767459375,0.0,0.0
552.2607767459375,623.9567673133882,0.0,0.0
623.9567673133882,704.9605256599227,0.0,0.0
704.9605256599227,796.4804114210489,0.0,0.0
796.4804114210489,899.8816567545975,0.0,0.0
899.8816567545975,1016.70673195667,6.315695583536171e-07,1.8527968153460564e-08
1016.70673195667,1148.6983549970353,7.286125044891062e-06,8.044482795213923e-08
1148.6983549970353,1297.8254882147567,4.560397833645152e-06,1.203500093656042e-08
1297.8254882147567,1466.312709975298,5.870535416395388e-06,1.4941080466207643e-08
1466.312709975298,1656.6733994357496,7.2322837052631366e-06,1.930565110994595e-08
1656.6733994357496,1871.7472294461966,9.29802029913908e-06,2.5613208981396132e-08
1871.7472294461966,2114.7425268811285,1.2081544691783028e-05,3.3333808809306633e-08
2114.7425268811285,2389.2841323038974,1.5915014534266947e-05,4.6089503765206714e-08
2389.2841323038974,2699.4674729024773,2.636691971059621e-05,6.578682471324031e-08
2699.4674729024773,3049.919655320262,3.058384738695513e-05,8.204804106759279e-08
3049.919655320262,3445.868489723756,0.00028948569281344824,3.49545289990013e-07
3445.868489723756,3893.2204747617334,6.958349242544131e-05,1.6471079305755222e-07
3893.2204747617334,4398.648906743123,2.699068771463385e-05,1.5084850201553516e-07
4398.648906743123,4969.693427387147,3.5575038367531344e-05,2.1838795187363605e-07
4969.693427387147,5614.872495132142,4.191230734649163e-05,3.0477714249158443e-07
5614.872495132142,6343.810457774433,5.278392650120248e-05,4.466342737192377e-07
6343.810457774433,7167.381122021563,7.055714456391013e-05,5.887931190336632e-07
7167.381122021563,8097.869961633985,0.0006081625485206108,2.1476570865998083e-06
8097.869961633985,9149.157383867207,0.0002119456383181876,1.5908934934687977e-06
